chemical_id,chemical_casrn,chemical_name,systemic_adjusted_negative_log_lel
DSSTox_GSID_21201,121-79-9,Propyl gallate,1.204
DSSTox_GSID_25122,1119-40-0,"Dimethylglutarate(Pentanedioicacid,dimethylester)(DBE-5dibasicester)",?
DSSTox_GSID_32482,96182-53-5,Tebupirimfos,4.745
DSSTox_GSID_27756,13826-35-2,3-Phenoxybenzenemethanol,?
DSSTox_GSID_27593,5216-25-1,"4-Chlorobenzotrichloride(Benzene,1-chloro-4-(trichloromethyl)-)",?
DSSTox_GSID_25395,999-97-3,"Hexamethyldisilazane(Silanamine,1,1,1-trimethyl-N-(trimethylsilyl)-)(bis(trimethylsilyl)amine)",?
DSSTox_GSID_34576,2491-38-5,"2-Bromo-4-hydroxyacetophenone(Ethanone,2-bromo-1-(4-hydroxyphenyl)-)",?
DSSTox_GSID_20673,2353-45-9,"FD&amp;CgreenNo.3(C.I.FoodGreen3,disodiumsalt)",?
DSSTox_GSID_21386,88-06-2,"2,4,6-Trichlorophenol",?
DSSTox_GSID_42074,499-75-2,Isopropyl-o-cresol,?
DSSTox_GSID_20307,107-30-2,"Chloromethylmethylether(CMME)(Methane,chloromethoxy-)",?
DSSTox_GSID_32638,175013-18-0,Pyraclostrobin,3.678
DSSTox_GSID_20148,98-07-7,Benzotrichloride,5.079
DSSTox_GSID_31865,335-67-1,Perfluorooctanoicacid(PFOA),?
DSSTox_GSID_22014,150-78-7,"Hydroquinonedimethylether(p-Dimethoxybenzene)(1,4-Dimethoxy-benzene)",?
DSSTox_GSID_22406,131-56-6,"2,4-Dihydroxybenzophenone(Methanone,(2,4-dihydroxyphenyl)phenyl-)(4-benzoylbenzene-1,3-diol)",?
DSSTox_GSID_21062,930-55-2,N-Nitrosopyrrolidine,?
DSSTox_GSID_21997,140-31-8,1-(2-Aminoethyl)piperazine,?
DSSTox_GSID_29246,2943-75-1,Triethoxyoctylsilane,?
DSSTox_GSID_35204,2155-70-6,"Stannane,tributyl(2-methyl-1-oxo-2-propenyl)oxy-",?
DSSTox_GSID_21980,123-66-0,Ethylhexanoate,?
DSSTox_GSID_27195,544-76-3,Hexadecane,?
DSSTox_GSID_34503,122008-85-9,Cyhalofop-butyl,4.301
DSSTox_GSID_42390,3811-73-2,Sodium(2-pyridylthio)-N-oxide(2-MercaptopyridineN-oxidesodiumsalt),?
DSSTox_GSID_41273,118-47-8,"1H-Pyrazole-3-carboxylicacid,4,5-dihydro-5-oxo-1-(4-sulfophenyl)-",?
DSSTox_GSID_34700,3653-48-3,MCPA-sodium,?
DSSTox_GSID_26689,102-60-3,"1,1',1'',1'''-(Ethane-1,2-diyldinitrilo)tetrapropan-2-ol",?
DSSTox_GSID_32639,55512-33-9,Pyridate,?
DSSTox_GSID_23322,84371-65-3,Mifepristone(RU486)(Mifeprex),?
DSSTox_GSID_40342,4437-85-8,"Butylenecarbonate(1,3-Dioxolan-2-one,4-ethyl-)",?
DSSTox_GSID_20969,79-24-3,Nitroethane,?
DSSTox_GSID_26500,80-54-6,"Benzenepropanal,4-(1,1-dimethylethyl)-alpha-methyl-(2-(4-tert-Butylbenzyl)propionaldehyde)(3-(4-tert-butylphenyl)-2-methylpropanal)",?
DSSTox_GSID_27236,602-01-7,"Benzene,1-methyl-2,3-dinitro-",?
DSSTox_GSID_26640,99-62-7,"1,3-Diisopropylbenzene(m-Diisopropylbenzene)(Benzene,1,3-bis(1-methylethyl)-)",?
DSSTox_GSID_24102,22224-92-6,Fenamiphos,4.347
DSSTox_GSID_34401,69327-76-0,Buprofezin,3.469
DSSTox_GSID_48167,138472-01-2,FR900409,?
DSSTox_GSID_20685,319-85-7,beta-Hexachlorocyclohexane,3.204
DSSTox_GSID_24553,123-77-3,Azodicarbonamide(Diazenedicarboxamide),?
DSSTox_GSID_20354,461-58-5,"Guanidine,cyano-;1-Cyanoguanidine;Dicyanodiamide",?
DSSTox_GSID_34456,87818-31-3,Cinmethylin,3.824
DSSTox_GSID_40747,68-96-2,17alpha-Hydroxyprogesterone,?
DSSTox_GSID_32558,143390-89-0,"Kresoxim-methyl(Benzeneaceticacid,.alpha.-(methoxyimino)-2-{(2-methylphenoxy)methyl}-,methylester,(E)-)",?
DSSTox_GSID_41232,717-74-8,"1,3,5-Triisopropylbenzene",?
DSSTox_GSID_21968,121-32-4,3-Ethoxy-4-hydroxybenzaldehyde(Ethylvanillin),?
DSSTox_GSID_26647,99-96-7,4-Hydroxybenzoicacid(p-Hydroxybenzoicacid)(4-Carboxyphenol),?
DSSTox_GSID_44391,88-69-7,"Phenol,2-(1-methylethyl)-",?
DSSTox_GSID_29128,97-99-4,"Tetrahydrofurfurylalcohol(2-Furanmethanol,tetrahydro-)",?
DSSTox_GSID_32405,23422-53-9,Formetanate hydrochloride,4
DSSTox_GSID_24891,69-74-9,Cytarabinehydrochloride,?
DSSTox_GSID_40352,39300-45-3,Dinocap,?
DSSTox_GSID_27184,541-02-6,Decamethylcyclopentasiloxane,?
DSSTox_GSID_44788,120-18-3,Naphthalene-2-sulfonicacid(2-Naphthalenesulfonicacid),?
DSSTox_GSID_24368,112-50-5,2-[2-(2-Ethoxyethoxy)ethoxy]ethanol(Triethyleneglycolmonoethylether),?
DSSTox_GSID_38808,239026,"Cyclotetrasiloxane,2,4,6,8-tetraethenyl-2,4,6,8-tetramethyl-",?
DSSTox_GSID_34580,26225-79-6,Ethofumesate,1.699
DSSTox_GSID_40788,121-00-6,2-tert-Butyl-4-methoxyphenol(3-tert-Butyl-4-hydroxyanisole),?
DSSTox_GSID_37712,27955-94-8,"4,4',4""-Ethane-1,1,1-triyltriphenol",?
DSSTox_GSID_47957,1219-38-1,Octylparaben,?
DSSTox_GSID_47315,444610-91-7,"(2-ethyl-4-{[(4-{[4-(4-methoxyphenyl)piperazin-1-yl]methyl}-2-[4-(trifluoromethyl)phenyl]-1,3-thiazol-5-yl)methyl]sulfanyl}phenoxy)acetic acid",?
DSSTox_GSID_23845,208-96-8,Acenaphthylene,?
DSSTox_GSID_22442,77-40-7,BisphenolB,?
DSSTox_GSID_37706,2795-39-3,Potassium perfluorooctanesulfonate,4.602
DSSTox_GSID_20371,80-08-0,Dapsone,?
DSSTox_GSID_27388,1330-86-5,"Hexanedioicacid,diisooctylester",?
DSSTox_GSID_29105,70-55-3,"4-Toluenesulfonamide(Benzenesulfonamide,4-methyl-)",?
DSSTox_GSID_25145,95-87-4,"2,5-Dimethylphenol",?
DSSTox_GSID_20607,117-81-7,Di(2-ethylhexyl) phthalate,4.602
DSSTox_GSID_29572,98730-04-2,"Benoxacor(2H-1,4-Benzoxazine,4-(dichloroacetyl)-3,4-dihydro-3-methyl-)",?
DSSTox_GSID_26912,112-35-6,2-[2-(2-Methoxyethoxy)ethoxy]ethanol(Triethyleneglycolmonomethylether),?
DSSTox_GSID_44815,2917-73-9,"Dibutylnonanedioate(Nonanedioicacid,dibutylester)(Dibutylazelaate)",?
DSSTox_GSID_41891,101-81-5,Diphenylmethane,?
DSSTox_GSID_32416,28159-98-0,"Cybutryne(Irgarol)(1,3,5-Triazine-2,4-diamine,N-cyclopropyl-N'-(1,1-dimethylethyl)-6-(methylthio)-)",?
DSSTox_GSID_27441,1843-05-6,"2-Hydroxy-4-octyloxybenzophenone(Methanone,[2-hydroxy-4-(octyloxy)phenyl]phenyl-)",?
DSSTox_GSID_47576,486-56-6,(-)-Cotinine,?
DSSTox_GSID_27770,15214-89-8,"2-Acrylamido-2-methyl-1-propanesulfonicacid(1-Propanesulfonicacid,2-methyl-2-[(1-oxo-2-propenyl)amino]-)(AMPS)",?
DSSTox_GSID_26178,2244-21-5,"Potassiumdichloroisocyanurate(s-Triazine-2,4,6(1H,3H,5H)-trione,1,3-dichloro-,potassiumsalt)",?
DSSTox_GSID_32581,156052-68-5,Zoxamide,1.815
DSSTox_GSID_33058,584-13-4,"4-Amino-1,2,4-triazole",?
DSSTox_GSID_21847,101-84-8,"Diphenyloxide(Benzene,1,1'-oxybis-)(Phenylether)(Phenoxybenzene)",?
DSSTox_GSID_27550,3926-62-3,Sodiumchloroacetate,?
DSSTox_GSID_34282,122-88-3,4-Chlorophenoxyaceticacid,?
DSSTox_GSID_37752,744-45-6,"Diphenylisophthalate(1,3-benzenedicarboxylicacid,diphenylester)",?
DSSTox_GSID_21244,13292-46-1,Rifampicin,2.301
DSSTox_GSID_26156,584-84-9,"Toluene-2,4-diisocyanate(2,4-Toluenediisocyanate)(Benzene,2,4-diisocyanato-1-methyl-)",?
DSSTox_GSID_34286,26172-55-4,5-Chloro-2-methyl-3(2H)-isothiazolone,3.62
DSSTox_GSID_41379,489-01-0,"2,6-Di-tert-butyl-4-methoxyphenol",?
DSSTox_GSID_41521,123-00-2,4-Morpholinepropanamine,?
DSSTox_GSID_27397,1338-43-8,"Sorbitan,mono-(9Z)-9-octadecenoate(Sorbitanmonooleate)",?
DSSTox_GSID_25050,111-40-0,"Diethylenetriamine(1,2-Ethanediamine,N-(2-aminoethyl)-)",?
DSSTox_GSID_47376,648917-13-9,"1-[2-({[(2-chloro-4,5-difluorophenyl)carbonyl]carbamoyl}amino)-4-fluorophenyl]piperidine-4-carboxylic acid",?
DSSTox_GSID_32641,84087-01-4,Quinclorac,1.875
DSSTox_GSID_26566,94-60-0,"1,4-Cyclohexanedicarboxylicacid,dimethylester",?
DSSTox_GSID_24211,15299-99-7,Napropamide,2.301
DSSTox_GSID_23899,1861-40-1,Benfluralin,3.491
DSSTox_GSID_20247,63-25-2,Carbaryl,3
DSSTox_GSID_25130,28804-88-8,Dimethylnaphthalene,?
DSSTox_GSID_42299,99-89-8,4-Isopropylphenol;(p-Isopropylphenol),?
DSSTox_GSID_25296,645-62-5,2-Ethyl-2-hexenal(cis-andtrans-mixture),?
DSSTox_GSID_22927,69655-05-6,"2',3'-Dideoxyinosine",?
DSSTox_GSID_36112,95-38-5,"1H-Imidazole-1-ethanol,2-(8-heptadecenyl)-4,5-dihydro-",?
DSSTox_GSID_48183,78473-71-9,Enterolactone,?
DSSTox_GSID_40111,105-54-4,Ethylbutyrate,?
DSSTox_GSID_44643,3033-77-0,"N,N,N-Trimethyl(oxiran-2-yl)methanaminiumchloride(Oxiranemethanaminium,N,N,N-trimethyl-,chloride0",?
DSSTox_GSID_29329,25498-49-1,"Propanol,[2-(2-methoxymethylethoxy)methylethoxy]-",?
DSSTox_GSID_20759,78-59-1,Isophorone,2.38
DSSTox_GSID_23652,154-42-7,6-Thioguanine(6-TG),?
DSSTox_GSID_29133,99-93-4,"4'-Hydroxyacetophenone(Ethanone,1-(4-hydroxyphenyl)-)",?
DSSTox_GSID_25355,111-30-8,Glutaraldehyde,3.079
DSSTox_GSID_29146,109-02-4,4-Methylmorpholine,?
DSSTox_GSID_34773,116714-46-6,Novaluron,3.481
DSSTox_GSID_47429,2392-39-4,Dexamethasonesodiumphosphate,?
DSSTox_GSID_20119,446-86-6,Azathioprine,?
DSSTox_GSID_27094,142-16-5,Bis(2-ethylhexyl)(2Z)-but-2-enedioate,?
DSSTox_GSID_40694,136-60-7,Butylbenzoate,?
DSSTox_GSID_20828,150-76-5,4-Methoxyphenol(Hydroquinonemonomethylether)(p-Methoxyphenol),?
DSSTox_GSID_24814,106-43-4,"4-Chlorotoluene(p-Chlorotoluene)(Benzene,1-chloro-4-methyl-)",?
DSSTox_GSID_29055,84852-15-3,"4-Nonylphenol, branched",3
DSSTox_GSID_37262,1434-54-4,Pregnenolonecarbonitrile(PCN)(Pregnenolone16alpha-carbonite)(PCNA),?
DSSTox_GSID_42007,1323-38-2,Glycerylmonoricinoleate,?
DSSTox_GSID_20466,105-55-5,"N,N'-Diethylthiourea",?
DSSTox_GSID_29612,138-86-3,"(+/-)-Limonene;Cyclohexene,1-methyl-4-(1-methylethenyl)-",?
DSSTox_GSID_21993,132-64-9,Dibenzofuran,?
DSSTox_GSID_41389,93-08-3,2'-Acetonaphthone,?
DSSTox_GSID_24344,2303-17-5,Tri-allate,3.824
DSSTox_GSID_22510,1570-64-5,4-Chloro-2-methylphenol(4-Chloro-o-cresol),?
DSSTox_GSID_44553,15046-75-0,"Sodium2-methylbenzenesulfonate(Benzenesulfonicacid,2-methyl-,sodiumsalt)",?
DSSTox_GSID_32615,98967-40-9,Flumetsulam,1.602
DSSTox_GSID_44784,1189-08-8,"Butane-1,3-diylbis(2-methylprop-2-enoate)(2-Propenoicacid,2-methyl-,1-methyl-1,3-propanediylester)",?
DSSTox_GSID_21837,100-37-8,"N,N-Diethylethanolamine((Diethylamino)ethanol)",?
DSSTox_GSID_40795,7080-50-4,Chloramine-Ttrihydrate,?
DSSTox_GSID_32551,79622-59-6,Fluazinam,4.921
DSSTox_GSID_20516,57-14-7,"1,1-Dimethylhydrazine(Dimethylhydrazine)(DMH)",?
